imagefile,eye,gaze_x,gaze_y
000001.jpg,L,0.1032,0.5229
000002.jpg,L,0.1032,0.5229
000003.jpg,L,0.1032,0.5229
000004.jpg,L,0.1032,0.5229
000005.jpg,L,0.1032,0.5229
000006.jpg,L,0.1032,0.5229
000007.jpg,L,0.1032,0.5229
000008.jpg,L,0.1032,0.5229
000009.jpg,L,0.1032,0.5229
000010.jpg,L,0.1032,0.5229
000011.jpg,L,0.1032,0.5229
000012.jpg,L,0.1032,0.5229
000013.jpg,L,0.1032,0.5229
000014.jpg,L,0.1032,0.5229
000015.jpg,L,0.1032,0.5229
000016.jpg,L,0.1032,0.5229
000017.jpg,L,0.1032,0.5229
000018.jpg,L,0.1032,0.5229
000019.jpg,L,0.1032,0.5229
000020.jpg,L,0.1032,0.5229
000021.jpg,L,0.1032,0.5229
000022.jpg,L,0.1032,0.5229
000023.jpg,L,0.1032,0.5229
000024.jpg,L,0.1032,0.5229
000025.jpg,L,0.1032,0.5229
000026.jpg,L,0.1032,0.5229
000027.jpg,L,0.1032,0.5229
000028.jpg,L,0.1032,0.5229
000029.jpg,L,0.1032,0.5229
000030.jpg,L,0.1032,0.5229
000031.jpg,L,0.1032,0.5229
000032.jpg,L,0.1032,0.5229
000033.jpg,L,0.1032,0.5229
000034.jpg,L,0.1032,0.5229
000035.jpg,L,0.1032,0.5229
000036.jpg,L,0.1032,0.5229
000037.jpg,L,0.1032,0.5229
000038.jpg,L,0.1032,0.5229
000039.jpg,L,0.1032,0.5229
000040.jpg,L,0.1032,0.5229
000041.jpg,L,0.1032,0.5229
000042.jpg,L,0.1032,0.5229
000043.jpg,L,0.1032,0.5229
000044.jpg,L,0.1032,0.5229
000045.jpg,L,0.1032,0.5229
000046.jpg,L,0.1032,0.5229
000047.jpg,L,0.1032,0.5229
000048.jpg,L,0.1032,0.5229
000049.jpg,L,0.1032,0.5229
000050.jpg,L,0.1032,0.5229
000051.jpg,L,0.1032,0.5229
000052.jpg,L,0.1032,0.5229
000053.jpg,L,0.1032,0.5229
000054.jpg,L,0.1032,0.5229
000055.jpg,L,0.1032,0.5229
000056.jpg,L,0.1032,0.5229
000057.jpg,L,0.1032,0.5229
000058.jpg,L,0.1032,0.5229
000059.jpg,L,0.1032,0.5229
000060.jpg,L,0.1032,0.5229
000061.jpg,L,0.1032,0.5229
000062.jpg,L,0.1032,0.5229
000063.jpg,L,0.1032,0.5229
000064.jpg,L,0.1032,0.5229
000065.jpg,L,0.1032,0.5229
000066.jpg,L,0.1032,0.5229
000067.jpg,L,0.1032,0.5229
000068.jpg,L,0.1032,0.5229
000069.jpg,L,0.1032,0.5229
000070.jpg,L,0.1032,0.5229
000071.jpg,L,0.1032,0.5229
000072.jpg,L,0.1032,0.5229
000073.jpg,L,0.1032,0.5229
000074.jpg,L,0.1032,0.5229
000075.jpg,L,0.1032,0.5229
000076.jpg,L,0.1032,0.5229
000077.jpg,L,0.1032,0.5229
000078.jpg,L,0.1032,0.5229
000079.jpg,L,0.1032,0.5229
000080.jpg,L,0.1032,0.5229
000081.jpg,L,0.1032,0.5229
000082.jpg,L,0.1032,0.5229
000083.jpg,L,0.1032,0.5229
000084.jpg,L,0.1032,0.5229
000085.jpg,L,0.1032,0.5229
000086.jpg,L,0.1032,0.5229
000087.jpg,L,0.1032,0.5229
000088.jpg,L,0.1032,0.5229
000089.jpg,L,0.1032,0.5229
000090.jpg,L,0.1032,0.5229
000091.jpg,L,0.1032,0.5229
000092.jpg,L,0.1032,0.5229
000093.jpg,L,0.1032,0.5229
000094.jpg,L,0.1032,0.5229
000095.jpg,L,0.1032,0.5229
000096.jpg,L,0.1032,0.5229
000097.jpg,L,0.1032,0.5229
000098.jpg,L,0.1032,0.5229
000099.jpg,L,0.1032,0.5229
000100.jpg,L,0.1032,0.5229
000101.jpg,L,0.1032,0.5229
000102.jpg,L,0.1032,0.5229
000103.jpg,L,0.1032,0.5229
000104.jpg,L,0.1032,0.5229
000105.jpg,L,0.1032,0.5229
000106.jpg,L,0.1032,0.5229
000107.jpg,L,0.1032,0.5229
000108.jpg,L,0.1032,0.5229
000109.jpg,L,0.1032,0.5229
000110.jpg,L,0.1032,0.5229
000111.jpg,L,0.1032,0.5229
000112.jpg,L,0.1032,0.5229
000113.jpg,L,0.1032,0.5229
000114.jpg,L,0.1032,0.5229
000115.jpg,L,0.1032,0.5229
000116.jpg,L,0.1032,0.5229
000117.jpg,L,0.1032,0.5229
000118.jpg,L,0.1032,0.5229
000119.jpg,L,0.1032,0.5229
000120.jpg,L,0.1032,0.5229
000121.jpg,L,0.1032,0.5229
000122.jpg,L,0.1032,0.5229
000123.jpg,L,0.1032,0.5229
000124.jpg,L,0.1032,0.5229
000125.jpg,L,0.1032,0.5229
000126.jpg,L,0.1032,0.5229
000127.jpg,L,0.1032,0.5229
000128.jpg,L,0.1032,0.5229
000129.jpg,L,0.1032,0.5229
000130.jpg,L,0.1032,0.5229
000131.jpg,L,0.1032,0.5229
000132.jpg,L,0.1032,0.5229
000133.jpg,L,0.1032,0.5229
000134.jpg,L,0.1032,0.5229
000135.jpg,L,0.1032,0.5229
000136.jpg,L,0.1032,0.5229
000137.jpg,L,0.1032,0.5229
000138.jpg,L,0.1032,0.5229
000139.jpg,L,0.1032,0.5229
000140.jpg,L,0.1032,0.5229
000141.jpg,L,0.1032,0.5229
000142.jpg,L,0.1032,0.5229
000143.jpg,L,0.1032,0.5229
000144.jpg,L,0.1032,0.5229
000145.jpg,L,0.1032,0.5229
000146.jpg,L,0.1032,0.5229
000147.jpg,L,0.1032,0.5229
000148.jpg,L,0.1032,0.5229
000149.jpg,L,0.1032,0.5229
000299.jpg,L,0.2189,-0.0118
000300.jpg,L,0.2189,-0.0118
000301.jpg,L,0.2189,-0.0118
000302.jpg,L,0.2189,-0.0118
000303.jpg,L,0.2189,-0.0118
000304.jpg,L,0.2189,-0.0118
000305.jpg,L,0.2189,-0.0118
000306.jpg,L,0.2189,-0.0118
000307.jpg,L,0.2189,-0.0118
000308.jpg,L,0.2189,-0.0118
000309.jpg,L,0.2189,-0.0118
000310.jpg,L,0.2189,-0.0118
000311.jpg,L,0.2189,-0.0118
000312.jpg,L,0.2189,-0.0118
000313.jpg,L,0.2189,-0.0118
000314.jpg,L,0.2189,-0.0118
000315.jpg,L,0.2189,-0.0118
000316.jpg,L,0.2189,-0.0118
000317.jpg,L,0.2189,-0.0118
000318.jpg,L,0.2189,-0.0118
000319.jpg,L,0.2189,-0.0118
000320.jpg,L,0.2189,-0.0118
000321.jpg,L,0.2189,-0.0118
000322.jpg,L,0.2189,-0.0118
000323.jpg,L,0.2189,-0.0118
000324.jpg,L,0.2189,-0.0118
000325.jpg,L,0.2189,-0.0118
000326.jpg,L,0.2189,-0.0118
000327.jpg,L,0.2189,-0.0118
000328.jpg,L,0.2189,-0.0118
000329.jpg,L,0.2189,-0.0118
000330.jpg,L,0.2189,-0.0118
000331.jpg,L,0.2189,-0.0118
000332.jpg,L,0.2189,-0.0118
000333.jpg,L,0.2189,-0.0118
000334.jpg,L,0.2189,-0.0118
000335.jpg,L,0.2189,-0.0118
000336.jpg,L,0.2189,-0.0118
000337.jpg,L,0.2189,-0.0118
000338.jpg,L,0.2189,-0.0118
000339.jpg,L,0.2189,-0.0118
000340.jpg,L,0.2189,-0.0118
000341.jpg,L,0.2189,-0.0118
000342.jpg,L,0.2189,-0.0118
000343.jpg,L,0.2189,-0.0118
000344.jpg,L,0.2189,-0.0118
000345.jpg,L,0.2189,-0.0118
000346.jpg,L,0.2189,-0.0118
000347.jpg,L,0.2189,-0.0118
000348.jpg,L,0.2189,-0.0118
000349.jpg,L,0.2189,-0.0118
000350.jpg,L,0.2189,-0.0118
000351.jpg,L,0.2189,-0.0118
000352.jpg,L,0.2189,-0.0118
000353.jpg,L,0.2189,-0.0118
000354.jpg,L,0.2189,-0.0118
000355.jpg,L,0.2189,-0.0118
000356.jpg,L,0.2189,-0.0118
000357.jpg,L,0.2189,-0.0118
000358.jpg,L,0.2189,-0.0118
000359.jpg,L,0.2189,-0.0118
000360.jpg,L,0.2189,-0.0118
000361.jpg,L,0.2189,-0.0118
000362.jpg,L,0.2189,-0.0118
000363.jpg,L,0.2189,-0.0118
000364.jpg,L,0.2189,-0.0118
000365.jpg,L,0.2189,-0.0118
000366.jpg,L,0.2189,-0.0118
000367.jpg,L,0.2189,-0.0118
000368.jpg,L,0.2189,-0.0118
000369.jpg,L,0.2189,-0.0118
000370.jpg,L,0.2189,-0.0118
000371.jpg,L,0.2189,-0.0118
000372.jpg,L,0.2189,-0.0118
000373.jpg,L,0.2189,-0.0118
000374.jpg,L,0.2189,-0.0118
000375.jpg,L,0.2189,-0.0118
000376.jpg,L,0.2189,-0.0118
000377.jpg,L,0.2189,-0.0118
000378.jpg,L,0.2189,-0.0118
000379.jpg,L,0.2189,-0.0118
000380.jpg,L,0.2189,-0.0118
000381.jpg,L,0.2189,-0.0118
000382.jpg,L,0.2189,-0.0118
000383.jpg,L,0.2189,-0.0118
000384.jpg,L,0.2189,-0.0118
000385.jpg,L,0.2189,-0.0118
000386.jpg,L,0.2189,-0.0118
000387.jpg,L,0.2189,-0.0118
000388.jpg,L,0.2189,-0.0118
000389.jpg,L,0.2189,-0.0118
000390.jpg,L,0.2189,-0.0118
000391.jpg,L,0.2189,-0.0118
000392.jpg,L,0.2189,-0.0118
000393.jpg,L,0.2189,-0.0118
000394.jpg,L,0.2189,-0.0118
000395.jpg,L,0.2189,-0.0118
000396.jpg,L,0.2189,-0.0118
000397.jpg,L,0.2189,-0.0118
000398.jpg,L,0.2189,-0.0118
000399.jpg,L,0.2189,-0.0118
000400.jpg,L,0.2189,-0.0118
000401.jpg,L,0.2189,-0.0118
000402.jpg,L,0.2189,-0.0118
000403.jpg,L,0.2189,-0.0118
000404.jpg,L,0.2189,-0.0118
000405.jpg,L,0.2189,-0.0118
000406.jpg,L,0.2189,-0.0118
000407.jpg,L,0.2189,-0.0118
000408.jpg,L,0.2189,-0.0118
000409.jpg,L,0.2189,-0.0118
000410.jpg,L,0.2189,-0.0118
000411.jpg,L,0.2189,-0.0118
000412.jpg,L,0.2189,-0.0118
000413.jpg,L,0.2189,-0.0118
000414.jpg,L,0.2189,-0.0118
000415.jpg,L,0.2189,-0.0118
000416.jpg,L,0.2189,-0.0118
000417.jpg,L,0.2189,-0.0118
000418.jpg,L,0.2189,-0.0118
000419.jpg,L,0.2189,-0.0118
000420.jpg,L,0.2189,-0.0118
000421.jpg,L,0.2189,-0.0118
000422.jpg,L,0.2189,-0.0118
000423.jpg,L,0.2189,-0.0118
000424.jpg,L,0.2189,-0.0118
000425.jpg,L,0.2189,-0.0118
000426.jpg,L,0.2189,-0.0118
000427.jpg,L,0.2189,-0.0118
000428.jpg,L,0.2189,-0.0118
000429.jpg,L,0.2189,-0.0118
000430.jpg,L,0.2189,-0.0118
000431.jpg,L,0.2189,-0.0118
000432.jpg,L,0.2189,-0.0118
000433.jpg,L,0.2189,-0.0118
000434.jpg,L,0.2189,-0.0118
000435.jpg,L,0.2189,-0.0118
000436.jpg,L,0.2189,-0.0118
000437.jpg,L,0.2189,-0.0118
000438.jpg,L,0.2189,-0.0118
000439.jpg,L,0.2189,-0.0118
000440.jpg,L,0.2189,-0.0118
000441.jpg,L,0.2189,-0.0118
000442.jpg,L,0.2189,-0.0118
000443.jpg,L,0.2189,-0.0118
000444.jpg,L,0.2189,-0.0118
000445.jpg,L,0.2189,-0.0118
000446.jpg,L,0.2189,-0.0118
000595.jpg,L,0.2999,0.0201
000596.jpg,L,0.2999,0.0201
000597.jpg,L,0.2999,0.0201
000598.jpg,L,0.2999,0.0201
000599.jpg,L,0.2999,0.0201
000600.jpg,L,0.2999,0.0201
000601.jpg,L,0.2999,0.0201
000602.jpg,L,0.2999,0.0201
000603.jpg,L,0.2999,0.0201
000604.jpg,L,0.2999,0.0201
000605.jpg,L,0.2999,0.0201
000606.jpg,L,0.2999,0.0201
000607.jpg,L,0.2999,0.0201
000608.jpg,L,0.2999,0.0201
000609.jpg,L,0.2999,0.0201
000610.jpg,L,0.2999,0.0201
000611.jpg,L,0.2999,0.0201
000612.jpg,L,0.2999,0.0201
000613.jpg,L,0.2999,0.0201
000614.jpg,L,0.2999,0.0201
000615.jpg,L,0.2999,0.0201
000616.jpg,L,0.2999,0.0201
000617.jpg,L,0.2999,0.0201
000618.jpg,L,0.2999,0.0201
000619.jpg,L,0.2999,0.0201
000620.jpg,L,0.2999,0.0201
000621.jpg,L,0.2999,0.0201
000622.jpg,L,0.2999,0.0201
000623.jpg,L,0.2999,0.0201
000624.jpg,L,0.2999,0.0201
000625.jpg,L,0.2999,0.0201
000626.jpg,L,0.2999,0.0201
