imagefile,eye,gaze_x,gaze_y
000150.jpg,R,0.1032,0.5229
000151.jpg,R,0.1032,0.5229
000152.jpg,R,0.1032,0.5229
000153.jpg,R,0.1032,0.5229
000154.jpg,R,0.1032,0.5229
000155.jpg,R,0.1032,0.5229
000156.jpg,R,0.1032,0.5229
000157.jpg,R,0.1032,0.5229
000158.jpg,R,0.1032,0.5229
000159.jpg,R,0.1032,0.5229
000160.jpg,R,0.1032,0.5229
000161.jpg,R,0.1032,0.5229
000162.jpg,R,0.1032,0.5229
000163.jpg,R,0.1032,0.5229
000164.jpg,R,0.1032,0.5229
000165.jpg,R,0.1032,0.5229
000166.jpg,R,0.1032,0.5229
000167.jpg,R,0.1032,0.5229
000168.jpg,R,0.1032,0.5229
000169.jpg,R,0.1032,0.5229
000170.jpg,R,0.1032,0.5229
000171.jpg,R,0.1032,0.5229
000172.jpg,R,0.1032,0.5229
000173.jpg,R,0.1032,0.5229
000174.jpg,R,0.1032,0.5229
000175.jpg,R,0.1032,0.5229
000176.jpg,R,0.1032,0.5229
000177.jpg,R,0.1032,0.5229
000178.jpg,R,0.1032,0.5229
000179.jpg,R,0.1032,0.5229
000180.jpg,R,0.1032,0.5229
000181.jpg,R,0.1032,0.5229
000182.jpg,R,0.1032,0.5229
000183.jpg,R,0.1032,0.5229
000184.jpg,R,0.1032,0.5229
000185.jpg,R,0.1032,0.5229
000186.jpg,R,0.1032,0.5229
000187.jpg,R,0.1032,0.5229
000188.jpg,R,0.1032,0.5229
000189.jpg,R,0.1032,0.5229
000190.jpg,R,0.1032,0.5229
000191.jpg,R,0.1032,0.5229
000192.jpg,R,0.1032,0.5229
000193.jpg,R,0.1032,0.5229
000194.jpg,R,0.1032,0.5229
000195.jpg,R,0.1032,0.5229
000196.jpg,R,0.1032,0.5229
000197.jpg,R,0.1032,0.5229
000198.jpg,R,0.1032,0.5229
000199.jpg,R,0.1032,0.5229
000200.jpg,R,0.1032,0.5229
000201.jpg,R,0.1032,0.5229
000202.jpg,R,0.1032,0.5229
000203.jpg,R,0.1032,0.5229
000204.jpg,R,0.1032,0.5229
000205.jpg,R,0.1032,0.5229
000206.jpg,R,0.1032,0.5229
000207.jpg,R,0.1032,0.5229
000208.jpg,R,0.1032,0.5229
000209.jpg,R,0.1032,0.5229
000210.jpg,R,0.1032,0.5229
000211.jpg,R,0.1032,0.5229
000212.jpg,R,0.1032,0.5229
000213.jpg,R,0.1032,0.5229
000214.jpg,R,0.1032,0.5229
000215.jpg,R,0.1032,0.5229
000216.jpg,R,0.1032,0.5229
000217.jpg,R,0.1032,0.5229
000218.jpg,R,0.1032,0.5229
000219.jpg,R,0.1032,0.5229
000220.jpg,R,0.1032,0.5229
000221.jpg,R,0.1032,0.5229
000222.jpg,R,0.1032,0.5229
000223.jpg,R,0.1032,0.5229
000224.jpg,R,0.1032,0.5229
000225.jpg,R,0.1032,0.5229
000226.jpg,R,0.1032,0.5229
000227.jpg,R,0.1032,0.5229
000228.jpg,R,0.1032,0.5229
000229.jpg,R,0.1032,0.5229
000230.jpg,R,0.1032,0.5229
000231.jpg,R,0.1032,0.5229
000232.jpg,R,0.1032,0.5229
000233.jpg,R,0.1032,0.5229
000234.jpg,R,0.1032,0.5229
000235.jpg,R,0.1032,0.5229
000236.jpg,R,0.1032,0.5229
000237.jpg,R,0.1032,0.5229
000238.jpg,R,0.1032,0.5229
000239.jpg,R,0.1032,0.5229
000240.jpg,R,0.1032,0.5229
000241.jpg,R,0.1032,0.5229
000242.jpg,R,0.1032,0.5229
000243.jpg,R,0.1032,0.5229
000244.jpg,R,0.1032,0.5229
000245.jpg,R,0.1032,0.5229
000246.jpg,R,0.1032,0.5229
000247.jpg,R,0.1032,0.5229
000248.jpg,R,0.1032,0.5229
000249.jpg,R,0.1032,0.5229
000250.jpg,R,0.1032,0.5229
000251.jpg,R,0.1032,0.5229
000252.jpg,R,0.1032,0.5229
000253.jpg,R,0.1032,0.5229
000254.jpg,R,0.1032,0.5229
000255.jpg,R,0.1032,0.5229
000256.jpg,R,0.1032,0.5229
000257.jpg,R,0.1032,0.5229
000258.jpg,R,0.1032,0.5229
000259.jpg,R,0.1032,0.5229
000260.jpg,R,0.1032,0.5229
000261.jpg,R,0.1032,0.5229
000262.jpg,R,0.1032,0.5229
000263.jpg,R,0.1032,0.5229
000264.jpg,R,0.1032,0.5229
000265.jpg,R,0.1032,0.5229
000266.jpg,R,0.1032,0.5229
000267.jpg,R,0.1032,0.5229
000268.jpg,R,0.1032,0.5229
000269.jpg,R,0.1032,0.5229
000270.jpg,R,0.1032,0.5229
000271.jpg,R,0.1032,0.5229
000272.jpg,R,0.1032,0.5229
000273.jpg,R,0.1032,0.5229
000274.jpg,R,0.1032,0.5229
000275.jpg,R,0.1032,0.5229
000276.jpg,R,0.1032,0.5229
000277.jpg,R,0.1032,0.5229
000278.jpg,R,0.1032,0.5229
000279.jpg,R,0.1032,0.5229
000280.jpg,R,0.1032,0.5229
000281.jpg,R,0.1032,0.5229
000282.jpg,R,0.1032,0.5229
000283.jpg,R,0.1032,0.5229
000284.jpg,R,0.1032,0.5229
000285.jpg,R,0.1032,0.5229
000286.jpg,R,0.1032,0.5229
000287.jpg,R,0.1032,0.5229
000288.jpg,R,0.1032,0.5229
000289.jpg,R,0.1032,0.5229
000290.jpg,R,0.1032,0.5229
000291.jpg,R,0.1032,0.5229
000292.jpg,R,0.1032,0.5229
000293.jpg,R,0.1032,0.5229
000294.jpg,R,0.1032,0.5229
000295.jpg,R,0.1032,0.5229
000296.jpg,R,0.1032,0.5229
000297.jpg,R,0.1032,0.5229
000298.jpg,R,0.1032,0.5229
000447.jpg,R,0.2189,-0.0118
000448.jpg,R,0.2189,-0.0118
000449.jpg,R,0.2189,-0.0118
000450.jpg,R,0.2189,-0.0118
